Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
2007-031,2007 Jul 5 1208,2007-031A,Zhongxing 6B,zhongxing liu B weixing,S31800,Chang Zheng 3B,Y10 (101),XSC LC2,S,xinhuanet.com
2007-032,2007 Jul 7 0116:00,2007-032A,DirecTV 10,DirecTV 10,S31862,Proton-M/Briz-M,535-20/88520,GIK-5 LC200/39,S,NK0709-19
2007-033,2007 Aug 2 1733:47,2007-033A,Progress M-61,Progress 7K-TGM No. 361,S32001,Soyuz-U-PVB,Ts15000-108 108,GIK-5 LC1,S,NK0710-18
2007-034,2007 Aug 4 0926:34,2007-034A,Phoenix,Phoenix Lander,S32003,Delta 7925-9.5,D325,CC SLC17A,S,spaceflightnow.com
2007-035,2007 Aug 8 2236:42,2007-035A,Endeavour (STS-118),OV-105,S32008,Space Shuttle,STS-118,KSC LC39A,S,Wire
,,2007-035A,Spacehab SH-18 (SM),Spacehab FU1?,A07266,,,,,
2007-036,2007 Aug 14 2344,2007-036A,Spaceway 3,Spaceway 3,S32018,Ariane 5ECA,V177 (537),CSG ELA3,S,Wire
,,2007-036B,BSAT-3A,BSAT 3a,S32019,,,,,
2007-037,2007 Sep 2 1251,2007-037A,INSAT 4CR,INSAT 4CR,S32050,GSLV Mk I,GSLV-F04,SHAR SLP,F,Wire
2007-038,2007 Sep 11 1305:06,2007-038A,Kosmos-2429,Parus?,S32052,Kosmos 11K65M,53752-108,GIK-1 LC132/1,S,NK0711-19
2007-039,2007 Sep 14 0131:01,2007-039A,Kaguya,SELENE,S32054,H-IIA 2022,H-IIA-13,TNSC Y,S,Wire
,,2007-039B,Okina,RSAT,S32055,,,,,
,,2007-039C,Ouna,VRAD,S32056,,,,,
2007-040,2007 Sep 14 1100:00,2007-040A,Foton-M No. 3,Foton 34KS No. 15,S32058,Soyuz-U-PVB,Ts15000-098 098,GIK-5 LC1,S,Wire
2007-041,2007 Sep 18 1835:00,2007-041A,WorldView-1,WorldView-1,S32060,Delta 7920-10C,D326,V SLC2W,S,spaceflightnow.com
2007-042,2007 Sep 19 0326:13,2007-042A,Zi Yuan 1-2B,ziyuan yihao 02B weixing,S32062,Chang Zheng 4B,Y17 (102),TYSC LC7,S,nasaspaceflight.com
2007-043,2007 Sep 27 1134:00,2007-043A,Dawn,Dawn,S32249,Delta 7925H,D327,CC SLC17B,S,spaceflightnow.com
2007-044,2007 Oct 5 2202,2007-044A,Optus D2,Optus D2,S32252,Ariane 5GS,V178 (526),CSG ELA3,S,Wire
,,2007-044B,Intelsat IS-11,Intelsat IS-11,S32253,,,,,
2007-045,2007 Oct 10 1322:39,2007-045A,Soyuz TMA-11,Soyuz 11F732 No. 221,S32256,Soyuz-FG,Ts15000-020 020,GIK-5 LC1,S,NK0712-01
2007-046,2007 Oct 11 0022,2007-046A,WGS SV-1,Wideband Global Satcom 1,S32258,Atlas V 421,AV-011,CC SLC41,S,Wire
2007-047,2007 Oct 17 1223:00,2007-047A,GPS IIR-17(M),Navstar GPS SVN 55,S32260,Delta 7925-9.5,D328,CC SLC17A,S,spaceflightnow.com
2007-048,2007 Oct 20 2012:25,2007-048A,Globalstar M067,Globalstar,S32263,Soyuz-FG,Ts15000-022 022,GIK-5 LC31,S,Wire
,,2007-048B,Globalstar M070,Globalstar,S32264,,,,,
,,2007-048C,Globalstar M066,Globalstar,S32265,,,,,
,,2007-048D,Globalstar M068,Globalstar,S32266,,,,,
2007-049,2007 Oct 23 0439:17,2007-049A,Kosmos-2430,Oko No. 6069,S32268,Molniya 8K78M,77046 -692 049,GIK-1 LC16/2,S,Wire
2007-050,2007 Oct 23 1538:19,2007-050A,Discovery (STS-120),OV-103,S32272,Space Shuttle,STS-120,KSC LC39A,S,Wire
,,2007-050A,Harmony,ISS Node 2,A07305,,,,,
2007-051,2007 Oct 24 1005:04,2007-051A,Chang'e-1,chang'e yihao weixing,S32273,Chang Zheng 3A,Y14 (103),XSC LC3,S,nasaspaceflight.com
2007-052,2007 Oct 26 0735:24,2007-052A,Kosmos-2431,Uragan-M No. 718,S32275,Proton-K/DM-2,410-17,GIK-5 LC81/24,S,wire
,,2007-052B,Kosmos-2432,Uragan-M No. 719,S32276,,,,,
,,2007-052C,Kosmos-2433,Uragan-M No. 720,S32277,,,,,
2007-053,2007 Nov 1 0051:44,2007-053A,SAR-Lupe 3,SAR-Lupe 3,S32283,Kosmos 11K65M,53765-632 SL,GIK-1 LC132/1,S,NK0801-26
2007-054,2007 Nov 11 0150,2007-054A,DSP F23,DSP F23,S32287,Delta 4H,D4-8 (329) 4050,CC SLC37B,S,Wire
2007-055,2007 Nov 11 2248,2007-055A,Yaogan Weixing 3,Jianbing-5 02 xing,S32289,Chang Zheng 4C,Y3 (104),TYSC LC7,S,nasaspaceflight.com
2007-056,2007 Nov 14 2206,2007-056A,Star One C1,Star One C1,S32293,Ariane 5ECA,V179 (538),CSG ELA3,S,Wire
,,2007-056B,Skynet 5B,Skynet 5B,S32294,,,,,
2007-057,2007 Nov 17 2239:47,2007-057A,Sirius 4,Sirius 4,S32299,Proton-M/Briz-M,535-23/88523,GIK-5 LC200/39,S,NK0801-26
2007-058,2007 Dec 9 0016:00,2007-058A,Raduga-1M,Globus-1M No. 11L,S32373,Proton-M/Briz-M,535-26/88526,GIK-5 LC81/24,S,NK0802-25
2007-059,2007 Dec 9 0231:42,2007-059A,COSMO 2,COSMO-Skymed 2,S32376,Delta 7420-10C,D330,V SLC2W,S,spaceflightnow.com
2007-060,2007 Dec 10 2205:00,2007-060A,USA 198,QUASAR 15?,S32378,Atlas V 401,AV-015,CC SLC41,S,Wire
2007-061,2007 Dec 14 1317:34,2007-061A,Radarsat-2,Radarsat-2,S32382,Soyuz-FG,Ts15000-025 025,GIK-5 LC31,S,NK0802-33
2007-062,2007 Dec 20 2004:00,2007-062A,GPS IIR-18(M),Navstar GPS SVN 57,S32384,Delta 7925-9.5,D331,CC SLC17A,S,spaceflightnow.com
2007-063,2007 Dec 21 2141:55,2007-063A,Rascom-QAF 1,Rascom 1,S32387,Ariane 5GS,V180 (530),CSG ELA3,S,Wire
,,2007-063B,Horizons 2,Horizons 2,S32388,,,,,
2007-064,2007 Dec 23 0712:41,2007-064A,Progress M-62,Progress 7K-TGM No.362,S32391,Soyuz-U-PVB,Sh15000-109 109,GIK-5 LC1,S,NK0802-12
2007-065,2007 Dec 25 1932:34,2007-065A,Kosmos-2434,Uragan-M No. 721,S32393,Proton-M/DM-2,535-28,GIK-5 LC81/24,S,wire
,,2007-065B,Kosmos-2435,Uragan-M No. 722,S32394,,,,,
,,2007-065C,Kosmos-2436,Uragan-M No. 723,S32395,,,,,
2008-001,2008 Jan 15 1148:59,2008-001A,Thuraya 3,Thuraya 3,S32404,Zenit-3SL,SL25/DM-SL-15L,"ODYSSEY,KLA",S,NK0803-30
2008-002,2008 Jan 21 0345,2008-002A,Ofeq-8,TecSAR-1,S32476,PSLV,PSLV-C10,SHAR FLP,S,Wire
2008-003,2008 Jan 28 0018:00,2008-003A,Ekspress AM-33,Ekspress AM-33,S32478,Proton-M/Briz-M,535-27/88530,GIK-5 LC200/39,S,NK0803-35
2008-004,2008 Feb 5 1302:57,2008-004A,Progress M-63,Progress 7K-TGM No.363,S32484,Soyuz-U-PVB,Ts15000-106 106,GIK-5 LC1,S,NK0804-09
2008-005,2008 Feb 7 1945:30,2008-005A,Atlantis (STS-122),OV-104,S32486,Space Shuttle,STS-122,KSC LC39A,S,Wire
,,2008-005A,Columbus,ISS COL Orbital Facility,A07337,,,,,
2008-006,2008 Feb 11 1134:00,2008-006A,Thor 2R,Thor 5,S32487,Proton-M/Briz-M,535-24/88524,GIK-5 LC200/39,S,NK0804-36
2008-007,2008 Feb 23 0855:00,2008-007A,Kizuna,WINDS,S32500,H-IIA 2024,H-IIA-14,TNSC Y,S,Wire
2008-008,2008 Mar 9 0403:11,2008-008A,Jules Verne,ATV 1,S32686,Ariane 5ES/ATV,V181 (528),CSG ELA3,S,Wire
2008-009,2008 Mar 11 0628:14,2008-009A,Endeavour (STS-123),OV-105,S32699,Space Shuttle,STS-123,KSC LC39A,S,Wire
,,2008-009,Dextre,ISS SPDM,A07369,,,,,
,,2008-009,Kibo ELM-PS,ISS ELM-PS,A07371,,,,,
2008-010,2008 Mar 13 1002,2008-010A,USA 200,RAVEN 5?/HEO-2,S32706,Atlas V 411,AV-006,VS SLC3E,S,Wire
2008-011,2008 Mar 14 2318:55,2008-011A,AMC 14,Americom 14,S32708,Proton-M/Briz-M,535-25/88525,GIK-5 LC200/39,F,NK0805-37
2008-012,2008 Mar 15 0610,2008-012A,GPS IIR-19(M),Navstar GPS SVN 48,S32711,Delta 7925-9.5,D332,CC SLC17A,S,spaceflightnow.com
2008-013,2008 Mar 19 2247:59,2008-013A,DirecTV 11,DirecTV-11,S32729,Zenit-3SL,SL26/DM-SL-26L,"ODYSSEY,KLA",S,NJ0805-42
2008-014,2008 Mar 27 1716:18,2008-014A,SAR-Lupe 4,SAR-Lupe 4,S32750,Kosmos 11K65M,53713-326 SL,GIK-1 LC132/1,S,NK0805-44
2008-015,2008 Apr 8 1116:39,2008-015A,Soyuz TMA-12,Soyuz 11F732 No. 222,S32756,Soyuz-FG,Sh15000-024 024,GIK-5 LC1,S,Wire
2008-016,2008 Apr 14 2012:00,2008-016A,ICO G1,ICO G1,S32763,Atlas V 421,AV-014,CC SLC41,S,Wire
2008-017,2008 Apr 16 1702:48,2008-017A,C/NOFS,C/NOFS,S32765,Pegasus XL,F39,"L-1011,KMR RW06/24 -> DZK2",S,Elias
2008-018,2008 Apr 18 2217,2008-018A,Vinasat,Vinasat,S32767,Ariane 5ECA,V182 (539),CSG ELA3,S,Wire
,,2008-018B,Star One C2,Star One C2,S32768,,,,,
2008-019,2008 Apr 25 1535:11,2008-019A,Tian Lian 1A,tianlian yihao 01 xing,S32779,Chang Zheng 3C,Y1? (105),XSC LC2?,S,xinhuanet.com
2008-020,2008 Apr 26 2216:02,2008-020A,Giove-B,Galileo IOV Experiment B,S32781,Soyuz-FG,P 15000-016 016,GIK-5 LC31,S,www.esa.int
2008-021,2008 Apr 28 0353:51,2008-021A,Cartosat 2A,Cartosat-2A,S32783,PSLV,PSLV-C9,SHAR SLP,S,Wire
,,2008-021B,NTS,CanX-6,S32784,,,,,
,,2008-021C,Cubesat-OSCAR-65,Cute-1.7/APD 2,S32785,,,,,
,,2008-021D,IMS-1,Indian Mini Satellite 1,S32786,,,,,
,,2008-021E,Compass-1,Compass-1,S32787,,,,,
,,2008-021F,AAUSat-II,AAUSat-II,S32788,,,,,
,,2008-021G,Delfi-OSCAR-64,Delfi-C3,S32789,,,,,
,,2008-021H,CanX-2,CanX-2,S32790,,,,,
,,2008-021J,Cubesat-OSCAR-66,SEEDS 2,S32791,,,,,
2008-022,2008 Apr 28 0500:00,2008-022A,Amos 3,Amos 3,S32794,Zenit-3SLB,SB60.1/SLB 1TL,GIK-5 LC45/1,S,NK0806-38
2008-023,2008 May 14 2022:56,2008-023A,Progress M-64,Progress 7K-TGM No.364,S32847,Soyuz-U-PVB,Sh15000-110 110,GIK-5 LC1,S,NK0807-25
2008-024,2008 May 21 0943:59,2008-024A,Galaxy 18,Galaxy 18,S32951,Zenit-3SL,SL27/DM-SL-27L,"ODYSSEY,KLA",S,NK0807-32
2008-025,2008 May 23 1520:09,2008-025A,Yubileyniy,Yubileyniy,S32953,Rokot,511-3922-114/72,GIK-1 LC133/3,S,NK0807-33
,,2008-025B,Kosmos-2437,Strela-3 No. 151L (551),S32954,,,,,
,,2008-025C,Kosmos-2438,Strela-3 No. 155L (555),S32955,,,,,
,,2008-025D,Kosmos-2439,Strela-3 No. 160L (560),S32956,,,,,
2008-026,2008 May 27 0302:33,2008-026A,Feng Yun 3A,fengyun sanhao 01 xing,S32958,Chang Zheng 4C,Y2 (106),TYSC LC7,S,nasaspaceflight.com
2008-027,2008 May 31 2102:12,2008-027A,Discovery (STS-124),OV-103,S32960,Space Shuttle,STS-124,KSC LC39A,S,Wire
,,2008-027,Kibo Pressurized Module,ISS JEM PM,A07398,,,,,
2008-028,2008 Jun 9 1215:04,2008-028A,Zhongxing 9,zhongxing jiuhao,S33051,Chang Zheng 3B,Y11 (107),XSC LC2?,S,xinhuanet.com
2008-029,2008 Jun 11 1605:01,2008-029A,Fermi Gamma-ray Space Tel.,GLAST,S33053,Delta 7920H,D333,CC SLC17B,S,spaceflightnow.com
2008-030,2008 Jun 12 2205:09,2008-030A,Skynet 5C,Skynet 5C,S33055,Ariane 5ECA,V183 (540),CSG ELA3,S,Wire
,,2008-030B,Turksat 3A,Turksat 3A,S33056,,,,,
2008-031,2008 Jun 19 0636:46,2008-031A,Orbcomm Q2,Orbcomm FM38,S33060,Kosmos 11K65M,53781-708 KL,GTsMP-4 LC107,S,NK0808-43
,,2008-031B,Orbcomm Q5,Orbcomm FM41,S33061,,,,,
,,2008-031C,Orbcomm J1,Orbcomm FM29/CDS-3,S33062,,,,,
,,2008-031D,Orbcomm Q3,Orbcomm FM39,S33063,,,,,
,,2008-031E,Orbcomm Q1,Orbcomm FM37,S33064,,,,,
,,2008-031F,Orbcomm Q4,Orbcomm FM40,S33065,,,,,
2008-032,2008 Jun 20 0746:25,2008-032A,Jason-2,Jason-2,S33105,Delta 7320-10C,D334,V SLC2W,S,spaceflightnow.com
2008-033,2008 Jun 26 2359:43,2008-033A,Kosmos-2440,Oko-1 No. 7127,S33108,Proton-K/DM-2,410-14/111L,GIK-5 LC81/24,S,NK0808-50
2008-034,2008 Jul 7 2147,2008-034A,Protostar 1,Protostar 1,S33153,Ariane 5ECA,V184 (541),CSG ELA3,S,Wire
,,2008-034B,Badr 6,Arabsat 4AR,S33154,,,,,
2008-035,2008 Jul 16 0520:59,2008-035A,Echostar XI,Echostar 11,S33207,Zenit-3SL,SL28/DM-SL-28L,"ODYSSEY,KLA",S,Wire
2008-036,2008 Jul 22 0240:09,2008-036A,SAR-Lupe 5,SAR-Lupe 5,S33244,Kosmos 11K65M,53752-101 SL,GIK-1 LC132/1,S,NK0809-31
2008-037,2008 Jul 26 1831:36,2008-037A,Kosmos-2441,Persona No. 1,S33272,Soyuz-2-1B,77057 -145 003,GIK-1 LC43/4,S,NK0809-34
2008-038,2008 Aug 14 2044,2008-038A,Superbird C2,Superbird 7,S33274,Ariane 5ECA,V185 (542),CSG ELA3,S,Wire
,,2008-038B,AMC 21,Americom 21,S33275,,,,,
2008-039,2008 Aug 18 2243:00,2008-039A,Inmarsat 4 F3,INMARSAT 4 F3,S33278,Proton-M/Briz-M,935-02/99502,GIK-5 LC200/39,S,NK0810-30
2008-040,2008 Aug 29 0715:58,2008-040A,Mati,RapidEye 2,S33312,Dnepr,670-8343-638,GIK-5 LC109/95,S,NK0810-33
,,2008-040B,Trochia,RapidEye 5,S33313,,,,,
,,2008-040C,Tachys,RapidEye 1,S33314,,,,,
,,2008-040D,Choma,RapidEye 3,S33315,,,,,
,,2008-040E,Choros,RapidEye 4,S33316,,,,,
2008-041,2008 Sep 6 0325,2008-041A,Huan Jing 1A,huanjing jian zai A xing,S33320,Chang Zheng 2C,Y1 (108),TYSC LC7,S,xinhuanet.com
,,2008-041B,Huan Jing 1B,huanjing jian zai B xing,S33321,,,,,
2008-042,2008 Sep 6 1850:57,2008-042A,GeoEye-1,GeoEye-1,S33331,Delta 7420-10C,D335,V SLC2W,S,spaceflightnow.com
2008-043,2008 Sep 10 1950:02,2008-043A,Progress M-65,Progress 7K-TGM No.365,S33340,Soyuz-U-PVB,Sh15000-111 111,GIK-5 LC1,S,Wire
2008-044,2008 Sep 19 2148:00,2008-044A,Nimiq 4,Nimiq 4,S33373,Proton-M/Briz-M,535-29/88528,GIK-5 LC200/39,S,NK0811-33
2008-045,2008 Sep 24 0927:59,2008-045A,Galaxy 19,Galaxy 19,S33376,Zenit-3SL,SL29/DM-SL-29L,"ODYSSEY,KLA",S,NK0811-34
2008-046,2008 Sep 25 0849:37,2008-046A,Kosmos-2442,Uragan-M No. 724,S33378,Proton-M/DM-2,535-31/112L,GIK-5 LC81/23,S,NK0811-35
,,2008-046B,Kosmos-2443,Uragan-M No. 725,S33379,,,,,
,,2008-046C,Kosmos-2444,Uragan-M No. 726,S33380,,,,,
2008-047,2008 Sep 25 1310,2008-047A,Shenzhou 7,shenzhou qihao fanhui can,S33386,Chang Zheng 2F,Y7 (109),JQ Pad 921,S,xinhuanet.com
,,2008-047G,BX-1,shenzhou qihao banxing,S33392,,,,,
,,2008-047H,Shenzhou 7 Guidao Cang,shenzhou qihao guidao can,S33394,,,,,
2008-048,2008 Sep 28 2315,2008-048A,Ratsat,Mass simulator,S33393,Falcon 1,F004,KMR OM,S,Wire
2008-049,2008 Oct 1 0637:21,2008-049A,Thaichote,THEOS,S33396,Dnepr,670-8343-637,YAS Sh370/13?,S,NK0812-32
2008-050,2008 Oct 12 0701:33,2008-050A,Soyuz TMA-13,Soyuz 11F732A17 No. 223,S33399,Soyuz-FG,Sh15000-026 026,GIK-5 LC1,S,NK0812-02
2008-051,2008 Oct 19 1747:23,2008-051A,IBEX,IBEX,S33401,Pegasus XL,F40,"L-1011,KMR RW06/24 -> DZK2",S,Wire
2008-052,2008 Oct 22 0052:11,2008-052A,Chandrayaan-1,Chandrayaan-1,S33405,PSLV-XL,PSLV-C11,SHAR SLP,S,Wire
,,2008-052,MIP,Moon Impact Probe,A07423,,,,,
2008-053,2008 Oct 25 0115,2008-053A,Shi Jian 6/3B,shijian liuhao san zu B x,S33408,Chang Zheng 4B,Y22 (110),TYSC LC9,S,xinhuanet.com
,,2008-053B,Shi Jian 6/3A,shijian liuhao san zu A x,S33409,,,,,
2008-054,2008 Oct 25 0228:25,2008-054A,COSMO 3,COSMO-Skymed 3,S33412,Delta 7420-10C,D336,V SLC2W,S,spaceflightnow.com
2008-055,2008 Oct 29 1653:43,2008-055A,Simon Bolivar,Venesat,S33414,Chang Zheng 3B,Y12 (111),XSC LC2,S,xinhuanet.com
2008-056,2008 Nov 5 0015:04,2008-056A,Shiyan Weixing 3,shiyan weixing sanhao,S33433,Chang Zheng 2D,Y12 (112),JQ Pad 603,S,xinhuanet.com
,,2008-056B,Chuangxin-1 02,chuangxin yihao er xing,S33434,,,,,
2008-057,2008 Nov 5 2044:20,2008-057A,Astra 1M,Astra 1M,S33436,Proton-M/Briz-M,535-33/88531,GIK-5 LC200/39,S,Wire
2008-058,2008 Nov 14 1550:00,2008-058A,Kosmos-2445,Kobal't-M No. 559,S33439,Soyuz-U-PVB,77057 -146 103,GIK-1 LC16/2,S,NK0901-37
2008-059,2008 Nov 15 0055:39,2008-059A,Endeavour (STS-126),OV-105,S33441,Space Shuttle,STS-126,KSC LC39A,S,Wire
,,2008-059B,Picosat Solar Cell Testbed,PSSC,S33445,,,,,
,,2008-059,Leonardo,MPLM-1,A07443,,,,,
2008-060,2008 Nov 26 1238:38,2008-060A,Progress M-01M,Progress 7K-TGM No.401,S33443,Soyuz-U-PVB,Sh15000-114 114,GIK-5 LC1,S,NK0901-20
2008-061,2008 Dec 1 0442,2008-061A,Yaogan Weixing 4,Jianbing-6 02 xing,S33446,Chang Zheng 2D,Y9 (113),JQ Pad 603,S,xinhuanet.com
2008-062,2008 Dec 2 0459:59,2008-062A,Kosmos-2446,Oko No. 6070,S33447,Molniya 8K78M,77046 -693 050,GIK-1 LC16/2,S,NK0902-34
2008-063,2008 Dec 10 1343:00,2008-063A,Ciel 2,Ciel 2,S33453,Proton-M/Briz-M,935-03/99503,GIK-5 LC200/39,S,NK0902-35
2008-064,2008 Dec 15 0322,2008-064A,Yaogan Weixing 5,Jianbing-10 01 xing,S33456,Chang Zheng 4B,Y20 (114),TYSC LC9,S,xinhuanet.com
2008-065,2008 Dec 20 2235:14,2008-065A,Hot Bird 9,Hot Bird 9,S33459,Ariane 5ECA,V186 (543),CSG ELA3,S,Wire
,,2008-065B,Eutelsat W2M,Eutelsat W2M,S33460,,,,,
2008-066,2008 Dec 23 0054,2008-066A,Feng Yun 2E,fengyun erhao 06 xing,S33463,Chang Zheng 3A,Y20 (115),XSC LC3?,S,xinhuanet.com
2008-067,2008 Dec 25 1043:42,2008-067A,Kosmos-2447,Uragan-M No. 727,S33466,Proton-M/DM-2,535-34/114L,GIK-5 LC81/24,S,NK0902-39
,,2008-067B,Kosmos-2449,Uragan-M No. 729,S33467,,,,,
,,2008-067C,Kosmos-2448,Uragan-M No. 728,S33468,,,,,
2009-001,2009 Jan 18 0247:00,2009-001A,USA 202,ORION 6,S33490,Delta 4H,D4-9 (337) 4050,CC SLC37B,S,Wire
2009-002,2009 Jan 23 0354,2009-002A,Ibuki,GOSAT,S33492,H-IIA 202,H-IIA-15,TNSC Y,S,Wire
,,2009-002B,Hitomi,PRISM,S33493,,,,,
,,2009-002C,Raijin,SpriteSat,S33494,,,,,
,,2009-002D,Kagayaki,SORUNSAT-1,S33495,,,,,
,,2009-002E,Maido-1,SOHLA 1,S33496,,,,,
,,2009-002F,SDS-1,Small Demonstration Sat,S33497,,,,,
,,2009-002G,Kukai,STARS-1 Mother,S33498,,,,,
,,2009-002H,Kiseki,KKS-1,S33499,,,,,
2009-003,2009 Jan 30 1330:00,2009-003A,Koronas-Foton,Koronas-Foton,S33504,Tsiklon-3,450-84- 701,GIK-1 LC32/2,S,Wire
2009-004,2009 Feb 2 1834?,2009-004A,Omid,-,S33506,Safir,GBS.0092,SEM SAF,S,TLE
2009-005,2009 Feb 6 1022:00,2009-005A,NOAA 19,NOAA N',S33591,Delta 7320-10C,D338,V SLC2W,S,spaceflightnow.com
2009-006,2009 Feb 10 0549:46,2009-006A,Progress M-66,Progress 7K-TGM No.366,S33593,Soyuz-U-PVB,Yu15000-115 115,GIK-5 LC31,S,NK0904-06
2009-007,2009 Feb 11 0003:00,2009-007A,Ekspress AM-44,Ekspress AM-44,S33595,Proton-M/Briz-M,935-01/99501,GIK-5 LC200/39,S,NK0904-23
,,2009-007B,Ekspress MD-1,Ekspress MD-1,S33596,,,,,
2009-008,2009 Feb 12 2209,2009-008A,NSS 9,NSS 9,S33749,Ariane 5ECA,V187 (545),CSG ELA3,S,Wire
,,2009-008B,Atlantic Bird 4A,Hot Bird 10,S33750,,,,,
,,2009-008C,Spirale A,Spirale A,S33751,,,,,
,,2009-008D,Spirale B,Spirale B,S33752,,,,,
2009-009,2009 Feb 26 1829:55,2009-009A,Telstar 11N,Telstar 11N,S34111,Zenit-3SLB,SB60.2/SLB 2,GIK-5 LC45/1,S,NK0904-37
2009-010,2009 Feb 28 0410:00,2009-010A,Raduga-1,Globus-1 No. 18L,S34264,Proton-K/DM-2,410-16/107L,GIK-5 LC81/24,S,Wire
2009-011,2009 Mar 7 0349:57,2009-011A,Kepler,Kepler,S34380,Delta 7925-10L,D339,CC SLC17B,S,spaceflightnow.com
2009-012,2009 Mar 15 2343:44,2009-012A,Discovery (STS-119),OV-103,S34541,Space Shuttle,STS-119,KSC LC39A,S,Wire
2009-013,2009 Mar 17 1421:14,2009-013A,GOCE,GOCE,S34602,Rokot,511-6992-012P/7,GIK-1 LC133/3,S,NK0905-38
2009-014,2009 Mar 24 0834:00,2009-014A,GPS IIR-20(M),Navstar GPS SVN 49,S34661,Delta 7925-9.5,D340,CC SLC17A,S,spaceflightnow.com
2009-015,2009 Mar 26 1149:18,2009-015A,Soyuz TMA-14,Soyuz 11F732A17 No. 224,S34669,Soyuz-FG,Yu15000-027 027,GIK-5 LC1,S,NK0904-14
2009-016,2009 Apr 3 1624:00,2009-016A,Eutelsat W2A,Eutelsat W2A,S34710,Proton-M/Briz-M,935-04/99504,GIK-5 LC200/39,S,NK0906-18
2009-017,2009 Apr 4 0031:00,2009-017A,WGS SV-2,Wideband Global Satcom 2,S34713,Atlas V 421,AV-016,CC SLC41,S,Wire
2009-018,2009 Apr 14 1616:04,2009-018A,Beidou DW 2,er ke beidou daohang weix,S34779,Chang Zheng 3C,Y3 (116),XSC LC2?,S,xinhuanet.com
2009-019,2009 Apr 20 0115,2009-019A,RISAT-2,TecSAR-2,S34807,PSLV,PSLV-C12,SHAR SLP,S,Wire
,,2009-019B,Anusat,Anna Univ. Satellite,S34808,,,,,
2009-020,2009 Apr 20 0815:59,2009-020A,SICRAL 1B,SICRAL 1B,S34810,Zenit-3SL,SL30/DM-SL-30L,"ODYSSEY,KLA",S,NK0906-35
2009-021,2009 Apr 22 0255:04,2009-021A,Yaogan Weixing 6,Jianbing-7 01 xing,S34839,Chang Zheng 2C,Y19 (117),TYSC LC7?,S,xinhuanet.com
2009-022,2009 Apr 29 1658:00,2009-022A,Kosmos-2450,Kobal't-M No. 560,S34871,Soyuz-U-PVB,78075 -152 105,GIK-1 LC16/2,S,NK0906-38
2009-023,2009 May 5 2024:26,2009-023A,STSS-ATRR,STSS Adv Tech Risk Reduct,S34903,Delta 7920-10C,D341,V SLC2W,S,spaceflightnow.com
2009-024,2009 May 7 1837:09,2009-024A,Progress M-02M,Progress 7K-TGM No.402,S34905,Soyuz-U-PVB,Sh15000-113 113,GIK-5 LC1,S,NK0907-03
2009-025,2009 May 11 1801:56,2009-025A,Atlantis (STS-125),OV-104,S34933,Space Shuttle,STS-125,KSC LC39A,S,Wire
2009-026,2009 May 14 1312,2009-026A,Herschel,Herschel,S34937,Ariane 5ECA,V188 (546),CSG ELA3,S,Wire
,,2009-026B,Planck,Planck,S34938,,,,,
2009-027,2009 May 16 0057:38,2009-027A,Protostar 2,Indostar II/Protostar II,S34941,Proton-M/Briz-M,935-05/99505,GIK-5 LC200/39,S,NK0907-40
2009-028,2009 May 19 2355,2009-028A,Tacsat 3,Tacsat 3,S35001,Minotaur 1,8,MARS Pad 0B,S,Wire
,,2009-028B,Pharmasat,Pharmasat,S35002,,,,,
,,2009-028C,CP6,CalPoly CP6,S35003,,,,,
,,2009-028D,HawkSat-1,HawkSat-1,S35004,,,,,
,,2009-028E,Aerocube-3,Aerocube 3/Drag device,S35005,,,,,
2009-029,2009 May 21 2153:33,2009-029A,Meridian No. 12L,Meridian No. 12,S35008,Soyuz-2-1A,77067 -162 005,GIK-1 LC43/4,F,NK0907-46
2009-030,2009 May 27 1034:53,2009-030A,Soyuz TMA-15,Soyuz 11F732A17 No. 225,S35010,Soyuz-FG,Yu15000-030 030,GIK-5 LC1,S,NK0907-08
2009-031,2009 Jun 18 2132:00,2009-031A,Lunar Reconnaissance Orbiter,LRO,S35315,Atlas V 401,AV-020,CC SLC41,S,Wire
,,2009-031B,LCROSS Shepherding S/C,S-S/C,S35316,,,,,
2009-032,2009 Jun 21 2150:00,2009-032A,Measat 3A,Measat 3A,S35362,Zenit-3SLB,SB60.3/SLB 3L,GIK-5 LC45/1,S,Wire
2009-033,2009 Jun 27 2251:00,2009-033A,GOES 14,GOES O,S35491,"Delta 4M+(4,2)",D4-10 (342) 424,CC SLC37B,S,Wire
2009-034,2009 Jun 30 1910:00,2009-034A,Sirius FM-5,Sirius CD Radio 5,S35493,Proton-M/Briz-M,935-06/99506,GIK-5 LC200/39,S,Wire
2009-035,2009 Jul 1 1752,2009-035A,Terrestar 1,Terrestar 1,S35496,Ariane 5ECA,V189 (547),CSG ELA3,S,Wire
2009-036,2009 Jul 6 0126:34,2009-036A,Kosmos-2451,Strela-3 No. 158L (558),S35498,Rokot,492-1791-573/72,GIK-1 LC133/3,S,vesti.ru
,,2009-036B,Kosmos-2452,Rodnik No. 12L,S35499,,,,,
,,2009-036C,Kosmos-2453,Strela-3 No. 159L (559),S35500,,,,,
2009-037,2009 Jul 14 0336,2009-037A,RazakSat,MACSat,S35578,Falcon 1,F005,KMR OM,S,Wire
