Title,Year,Genre,Country,imdbRating,imdbVotes,imdbID,Year2,imdbRating2
The Hat Squad,1992–1993,"Crime, Drama",USA,7.5,85,tt0103436,1992,75.0
Hearts Afire,1992–1995,"Comedy, Romance",USA,7.2,226,tt0103437,1992,72.0
The Heights,1992–,"Drama, Music",USA,7.1,171,tt0103439,1992,71.0
Highlander,1992–1998,"Action, Adventure, Fantasy, Mystery, Romance, Sci-Fi","Canada, France",7.3,"11,983",tt0103442,1992,73.0
Human Target,1992–,"Action, Adventure",USA,7.0,103,tt0103447,1992,70.0
The Jackie Thomas Show,1992–,Comedy,USA,5.4,107,tt0103450,1992,54.0
The Jon Stewart Show,1993–1995,"Comedy, Talk-Show",USA,6.7,93,tt0103451,1993,67.0
Kaisermühlen Blues,1992–,,Austria,7.6,161,tt0103454,1992,76.0
Kung Fu: The Legend Continues,1993–1997,"Action, Crime, Drama","USA, Canada",6.7,"1,805",tt0103460,1993,67.0
Super Sentai Zyuranger,1992–1993,"Action, Adventure, Drama",Japan,8.5,153,tt0103463,1992,85.0
The Larry Sanders Show,1992–1998,Comedy,USA,8.3,"6,857",tt0103466,1992,83.0
The Late Show,1992–1993,Comedy,Australia,8.4,381,tt0103468,1992,84.0
Later... With Jools Holland,1992–,"Music, Talk-Show",UK,8.2,427,tt0103469,1992,82.0
The Little Mermaid,1992–1994,"Animation, Adventure, Drama, Family, Fantasy",USA,6.8,"3,037",tt0103477,1992,68.0
Lotta på Bråkmakargatan,1995–,Family,Sweden,6.0,120,tt0103480,1995,60.0
Love & War,1992–1995,Comedy,USA,7.4,95,tt0103481,1992,74.0
Mad About You,1992–1999,"Comedy, Romance",USA,6.6,"18,080",tt0103484,1992,66.0
Mann & Machine,1992–,"Action, Crime, Sci-Fi",USA,8.5,254,tt0103486,1992,85.0
Marienhof,1992–,Drama,Germany,3.5,196,tt0103487,1992,35.0
Martin,1992–1997,"Comedy, Drama, Romance",USA,7.4,"6,499",tt0103488,1992,74.0
Melrose Place,1992–1999,"Drama, Romance",USA,5.8,"9,913",tt0103491,1992,58.0
Mulberry,1992–1993,Comedy,UK,8.4,289,tt0103496,1992,84.0
Natural Lies,1992–,Thriller,UK,5.8,94,tt0103498,1992,58.0
Nightmare Cafe,1992–,"Horror, Thriller",USA,7.4,326,tt0103502,1992,74.0
The Odyssey,1992–1994,"Adventure, Drama, Family",Canada,8.4,551,tt0103504,1992,84.0
On the Air,1992–,Comedy,USA,7.4,803,tt0103505,1992,74.0
Out All Night,1992–,Comedy,USA,7.9,123,tt0103506,1992,79.0
Phoenix,1992–1993,"Crime, Drama, Mystery",Australia,8.5,106,tt0103511,1992,85.0
Picket Fences,1992–1996,"Crime, Drama, Family",USA,7.8,"3,376",tt0103512,1992,78.0
The Powers That Be,1992–1993,Comedy,USA,8.5,273,tt0103515,1992,85.0
Raven,1992–1993,"Action, Adventure, Comedy",USA,7.3,268,tt0103518,1992,73.0
Real World,1992–,"Drama, Reality-TV",USA,5.0,"3,542",tt0103520,1992,50.0
Red Shoe Diaries,1992–1999,"Drama, Romance",USA,5.8,770,tt0103522,1992,58.0
Rederiet,1992–2002,Drama,"Sweden, Finland",6.3,694,tt0103523,1992,63.0
Renegade,1992–1997,"Action, Adventure, Crime, Drama",USA,6.1,"3,803",tt0103524,1992,61.0
Round the Twist,1989–2001,"Comedy, Family, Fantasy",Australia,8.2,"1,641",tt0103529,1989,82.0
Roundhouse,1992–1995,"Comedy, Music",USA,7.2,366,tt0103530,1992,72.0
Rush Limbaugh,1992–1996,Talk-Show,USA,4.2,293,tt0103531,1992,42.0
Scoop,1992–,,Canada,7.5,102,tt0103534,1992,75.0
Sharky & George,1990–1992,"Animation, Adventure, Comedy","France, Canada",6.9,226,tt0103542,1990,69.0
Shelley Duvall's Bedtime Stories,1992–,"Animation, Family",USA,7.8,93,tt0103544,1992,78.0
Sightings,1991–1997,Documentary,USA,8.2,177,tt0103549,1991,82.0
Street Sharks,1994–1996,"Animation, Adventure, Crime, Family, Sci-Fi","USA, Canada",6.3,"1,892",tt0103559,1994,63.0
Taz-Mania,1991–1993,"Animation, Comedy, Family",USA,6.8,"7,855",tt0103562,1991,68.0
Tequila and Bonetti,1992–,"Action, Comedy, Crime",USA,6.4,256,tt0103564,1992,64.0
The Tomorrow People,1992–1995,Sci-Fi,UK,7.4,276,tt0103568,1992,74.0
The Tonight Show with Jay Leno,1992–2014,"Comedy, Music, Talk-Show",USA,5.3,"9,192",tt0103569,1992,53.0
Woops!,1992–,Comedy,USA,7.1,88,tt0103583,1992,71.0
X-Men,1992–1997,"Animation, Action, Family, Sci-Fi, Thriller","USA, Canada",8.5,"32,741",tt0103584,1992,85.0
The Young Indiana Jones Chronicles,1992–1993,"Action, Adventure, Family, Mystery",USA,7.3,"6,450",tt0103586,1992,73.0
Bannô bunka nekomusume,1992,"Short, Animation, Comedy",Japan,7.5,143,tt0103766,,75.0
Hime-chan's Ribbon,1992–,Animation,Japan,5.8,166,tt0104421,1992,58.0
Intruders,1992–,"Biography, Horror, Mystery, Sci-Fi",USA,6.5,"1,130",tt0104523,1992,65.0
Les intrépides,1993–1996,"Adventure, Family, Thriller","France, Canada",8.3,174,tt0104524,1993,83.0
Lady Boss,1992,Drama,USA,5.2,107,tt0104539,,52.0
The Jacksons: An American Dream,1992–,"Biography, Drama, Music",USA,7.5,"2,824",tt0104541,1992,75.0
Tenchi Muyô! Ryô Ôki,1992–,"Animation, Comedy, Fantasy",Japan,8.2,975,tt0105559,1992,82.0
Truckers,1992–,"Animation, Adventure, Family",UK,7.7,158,tt0105646,1992,77.0
Video Girl Ai,1992–,"Animation, Comedy, Drama",Japan,7.9,556,tt0105748,1992,79.0
't Zonnetje in huis,1993–2004,Comedy,Netherlands,6.2,168,tt0105927,1993,62.0
2 Stupid Dogs,1993–1995,"Animation, Comedy, Family",USA,7.4,"3,226",tt0105928,1993,74.0
Absolutely Fabulous,1992–2012,Comedy,UK,8.2,"16,155",tt0105929,1992,82.0
Acapulco H.E.A.T.,1993–1994,"Action, Adventure","USA, Mexico, France",6.0,590,tt0105930,1993,60.0
Adelheid und ihre Mörder,1993–2007,"Comedy, Crime",Germany,7.1,127,tt0105931,1993,71.0
"The Adventures of Brisco County, Jr.",1993–1994,"Action, Adventure, Comedy, Sci-Fi, Western",USA,8.3,"7,072",tt0105932,1993,83.0
The Adventures of Pete & Pete,1992–1996,"Comedy, Drama",USA,8.3,"8,495",tt0105933,1992,83.0
Aladdin,1994–1995,"Animation, Adventure, Comedy, Family, Fantasy, Romance",USA,7.3,"7,122",tt0105935,1994,73.0
Almost Home,1993–,Comedy,USA,7.9,250,tt0105939,1993,79.0
Animaniacs,1993–1998,"Animation, Comedy, Family, Musical","USA, Japan",7.9,"18,993",tt0105941,1993,79.0
As Time Goes By,1992–2005,"Comedy, Romance",UK,8.2,"3,357",tt0105943,1992,82.0
Babylon 5,1994–1998,"Action, Adventure, Drama, Sci-Fi",USA,8.3,"25,684",tt0105946,1994,83.0
Bakersfield P.D.,1993–,"Comedy, Crime",USA,8.3,243,tt0105947,1993,83.0
Beavis and Butt-Head,1993–2011,"Animation, Comedy, Music",USA,7.5,"25,118",tt0105950,1993,75.0
Der Bergdoktor,1992–2013,Drama,Germany,4.3,127,tt0105951,1992,43.0
Blanche,1993–,,Canada,7.4,122,tt0105954,1993,74.0
Boy Meets World,1993–2000,"Comedy, Drama, Family",USA,8.1,"35,725",tt0105958,1993,81.0
Case Closed,1993–1994,,USA,8.8,445,tt0105968,1993,88.0
The Chevy Chase Show,1993–,"Comedy, Talk-Show",USA,2.8,165,tt0105970,1993,28.0
Class of '96,1993–,Drama,USA,7.6,121,tt0105972,1993,76.0
Cobra,1993–1994,"Action, Adventure",USA,6.6,404,tt0105973,1993,66.0
Cracker,1993–1996,"Crime, Drama, Mystery",UK,8.5,"4,729",tt0105977,1993,85.0
Danger Theatre,1993–,Comedy,USA,8.5,86,tt0105981,1993,85.0
Dave's World,1993–1997,Comedy,USA,6.7,586,tt0105982,1993,67.0
Diagnosis Murder,1993–2001,"Crime, Mystery, Drama",USA,6.9,"5,447",tt0105986,1993,69.0
Droopy: Master Detective,1993–1994,"Animation, Comedy, Family, Mystery",USA,6.5,631,tt0105988,1993,65.0
Fallen Angels,1993–1995,"Drama, Crime, Mystery, Thriller",USA,6.4,356,tt0105994,1993,64.0
Family Dog,1993–,"Animation, Family, Comedy","Canada, USA",7.0,371,tt0105996,1993,70.0
Flodder,1993–1998,"Comedy, Crime",Netherlands,6.8,"1,218",tt0105999,1993,68.0
Frasier,1993–2004,Comedy,USA,8.1,"65,483",tt0106004,1993,81.0
Full Frontal,1993–1997,"Comedy, Fantasy, Sci-Fi",Australia,7.6,280,tt0106006,1993,76.0
Ghost Sweeper Mikami,1993–1994,"Animation, Action, Comedy",Japan,7.4,98,tt0106010,1993,74.0
Goodnight Sweetheart,1993–2016,"Comedy, Drama, Fantasy",UK,7.6,"1,880",tt0106014,1993,76.0
Gosei Sentai Dairanger,1993–1994,"Action, Adventure, Drama",Japan,7.6,82,tt0106015,1993,76.0
Grace Under Fire,1993–1998,"Comedy, Romance",USA,6.3,"2,852",tt0106017,1993,63.0
Hello Kitty and Friends,1991–,"Animation, Family",Japan,6.3,126,tt0106024,1991,63.0
Homicide: Life on the Street,1993–1999,"Crime, Drama, Mystery, Thriller",USA,8.6,"10,339",tt0106028,1993,86.0
I manegen med Glenn Killing,1992,Comedy,Sweden,7.5,553,tt0106030,,75.0
The John Larroquette Show,1993–1996,Comedy,USA,7.3,759,tt0106039,1993,73.0
Joking Apart,1991–1995,Comedy,UK,8.4,128,tt0106041,1991,84.0
Julie Lescaut,1992–,"Action, Crime",France,4.7,310,tt0106042,1992,47.0
Key West,1993–,"Comedy, Drama",USA,8.4,238,tt0106045,1993,84.0
Late Night with Conan O'Brien,1993–2009,"Comedy, Music, Talk-Show",USA,8.3,"15,078",tt0106052,1993,83.0
Late Show with David Letterman,1993–2015,"Comedy, Music, Talk-Show",USA,6.9,"11,272",tt0106053,1993,69.0
Living Single,1993–1998,Comedy,USA,7.3,"3,618",tt0106056,1993,73.0
Lois & Clark: The New Adventures of Superman,1993–1997,"Adventure, Comedy, Drama, Romance, Sci-Fi",USA,6.8,"18,840",tt0106057,1993,68.0
Matrix,1993–,"Action, Drama, Fantasy, Thriller",Canada,8.2,115,tt0106062,1993,82.0
Metsolat,1993–1995,Drama,Finland,7.5,165,tt0106063,1993,75.0
Mighty Morphin Power Rangers,1993–1999,"Action, Adventure, Family, Fantasy, Sci-Fi","USA, Japan",6.5,"18,522",tt0106064,1993,65.0
Moon Over Miami,1993–,"Drama, Crime",USA,7.6,147,tt0106069,1993,76.0
Mot i brøstet,1993–1997,Comedy,Norway,6.2,705,tt0106072,1993,62.0
The Irresponsible Captain Tylor,1993–,"Animation, Comedy, Family, Sci-Fi",Japan,7.7,333,tt0106076,1993,77.0
Mysteries of the Bible,1994–1998,Documentary,USA,7.8,108,tt0106077,1994,78.0
NYPD Blue,1993–2005,"Crime, Drama, Mystery, Thriller",USA,7.5,"10,374",tt0106079,1993,75.0
The Nanny,1993–1999,"Comedy, Family, Romance",USA,6.9,"33,456",tt0106080,1993,69.0
Alleyn Mysteries,1990–1994,"Crime, Drama, Mystery",UK,7.7,318,tt0106084,1990,77.0
North of 60,1992–1998,"Crime, Drama, Mystery",Canada,8.4,346,tt0106087,1992,84.0
Onderweg naar morgen,1994–2010,Drama,Netherlands,3.4,197,tt0106090,1994,34.0
Peak Practice,1993–2002,Drama,UK,6.1,188,tt0106097,1993,61.0
La petite vie,1993–1999,,Canada,8.6,796,tt0106099,1993,86.0
Phenom,1993–1994,Comedy,USA,7.1,105,tt0106100,1993,71.0
Pie in the Sky,1994–1997,"Comedy, Crime, Drama",UK,7.6,855,tt0106102,1994,76.0
Problem Child,1993–,"Animation, Comedy, Family","USA, Spain, Canada",4.2,119,tt0106105,1993,42.0
RTL Samstag Nacht,1993–1998,Comedy,Germany,7.6,191,tt0106108,1993,76.0
Ready or Not,1993–1997,"Drama, Family",Canada,7.1,"2,229",tt0106110,1993,71.0
Real Stories of the Highway Patrol,1993–1999,Reality-TV,USA,7.3,136,tt0106111,1993,73.0
Ricki Lake,1992–2004,Talk-Show,USA,4.0,500,tt0106113,1992,40.0
Rocko's Modern Life,1993–1996,"Animation, Comedy, Family",USA,8.0,"17,030",tt0106115,1993,80.0
Saved by the Bell: The College Years,1993–1994,"Comedy, Romance",USA,6.3,"3,659",tt0106122,1993,63.0
Saved by the Bell: The New Class,1993–2000,"Comedy, Family",USA,3.8,"1,644",tt0106123,1993,38.0
SeaQuest 2032,1993–1996,"Action, Adventure, Family, Sci-Fi",USA,6.7,"5,530",tt0106126,1993,67.0
Shooting Stars,1993–2011,"Comedy, Game-Show",UK,7.8,"1,608",tt0106131,1993,78.0
The Sinbad Show,1993–1994,"Comedy, Family",USA,6.3,349,tt0106132,1993,63.0
The Smell of Reeves and Mortimer,1993–1995,Comedy,UK,7.8,739,tt0106135,1993,78.0
Snowy River: The McGregor Saga,1993–1996,"Drama, Western",Australia,7.3,470,tt0106136,1993,73.0
Soldier Soldier,1991–1997,Drama,UK,6.7,484,tt0106138,1991,67.0
Sonic the Hedgehog,1993–1994,"Animation, Action, Adventure, Comedy, Fantasy, Mystery, Romance, Sci-Fi, Thriller, War",USA,6.9,"4,089",tt0106140,1993,69.0
Space Rangers,1993–1994,"Action, Adventure, Sci-Fi",USA,7.0,426,tt0106144,1993,70.0
Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama, Sci-Fi",USA,7.9,"43,819",tt0106145,1993,79.0
Talk Soup,1991–2002,"Comedy, Talk-Show",USA,7.6,217,tt0106149,1991,76.0
Thea,1993–1994,Comedy,USA,7.2,129,tt0106151,1993,72.0
Time Trax,1993–1994,"Action, Adventure, Crime",USA,7.2,969,tt0106154,1993,72.0
Tomtemaskinen,1993–,Family,Sweden,7.7,82,tt0106157,1993,77.0
The Untouchables,1993–1994,"Crime, Drama, Thriller, Action",USA,7.9,343,tt0106165,1993,79.0
Vrouwenvleugel,1993–1995,"Crime, Drama",Netherlands,7.3,90,tt0106167,1993,73.0
"Walker, Texas Ranger",1993–2001,"Action, Adventure, Crime, Drama, Western",USA,5.5,"13,659",tt0106168,1993,55.0
Where in the World Is Carmen Sandiego?,1991–1996,"Family, Game-Show, Music",USA,7.7,"1,361",tt0106172,1991,77.0
Wolff's Turf,1992–2006,"Action, Crime",Germany,4.7,129,tt0106178,1992,47.0
The X-Files,1993–,"Drama, Mystery, Sci-Fi, Thriller","Canada, USA",8.7,"180,987",tt0106179,1993,87.0
Beakman's World,1992–,"Comedy, Family",USA,8.6,"1,942",tt0106367,1992,86.0
Exosquad,1993–1995,"Animation, Drama, Sci-Fi, Adventure","USA, Canada",8.5,879,tt0106842,1993,85.0
Maigret,1992–1993,"Crime, Drama, Mystery","UK, Hungary",7.7,532,tt0107221,1992,77.0
A Woman's Guide to Adultery,1993–,Drama,UK,5.0,123,tt0108591,1993,50.0
99-1,1994–,"Crime, Drama",UK,8.2,90,tt0108683,1994,82.0
Aaahh!!! Real Monsters,1994–1997,"Animation, Comedy, Family, Horror",USA,7.3,"8,620",tt0108684,1994,73.0
All Quiet on the Preston Front,1994–,Comedy,UK,8.5,86,tt0108692,1994,85.0
All-American Girl,1994–1995,Comedy,USA,6.7,324,tt0108693,1994,67.0
American Cinema,1995–,Documentary,USA,5.7,152,tt0108695,1995,57.0
Bert,1994,"Family, Comedy",Sweden,7.3,713,tt0108703,,73.0
Blue Heelers,1994–2006,"Action, Crime, Drama, Mystery, Romance, Thriller",Australia,6.9,720,tt0108709,1994,69.0
Burke's Law,1994–1995,"Crime, Drama",USA,6.5,206,tt0108715,1994,65.0
The Byrds of Paradise,1994–,Drama,USA,8.0,136,tt0108716,1994,80.0
Mystery!: Cadfael,1994–1996,"Crime, Drama, Mystery",UK,8.2,"1,963",tt0108717,1994,82.0
Cardiac Arrest,1994–1996,"Comedy, Drama",UK,7.8,111,tt0108719,1994,78.0
Chef!,1993–1996,Comedy,UK,8.2,947,tt0108723,1993,82.0
Chicago Hope,1994–2000,"Drama, Mystery, Thriller",USA,6.8,"3,273",tt0108724,1994,68.0
Christy,1994–1995,"Drama, Family",USA,7.8,957,tt0108725,1994,78.0
Common As Muck,1994–1997,"Comedy, Drama",UK,8.2,137,tt0108729,1994,82.0
Teen's Confessions,1994–,"Comedy, Drama, Romance","Brazil, France",7.8,88,tt0108731,1994,78.0
The Cosby Mysteries,1994–1995,"Comedy, Crime, Drama",USA,5.3,178,tt0108733,1994,53.0
The Critic,1994–2001,"Animation, Comedy, Drama, Romance",USA,7.9,"6,835",tt0108734,1994,79.0
DNA²,1994–,"Animation, Comedy, Sci-Fi",Japan,6.8,239,tt0108736,1994,68.0
Dead at 21,1994–,"Action, Adventure, Crime",USA,7.6,108,tt0108741,1994,76.0
Dennis Miller Live,1994–2002,"Comedy, Talk-Show",USA,6.2,318,tt0108742,1994,62.0
Doctor Finlay,1993–1996,Drama,UK,7.6,119,tt0108747,1993,76.0
Duckman: Private Dick/Family Man,1994–1997,"Animation, Comedy, Drama",USA,7.8,"4,885",tt0108755,1994,78.0
Due South,1994–1999,"Adventure, Drama, Comedy","Canada, USA",8.1,"5,074",tt0108756,1994,81.0
ER,1994–2009,"Drama, Romance",USA,7.7,"45,826",tt0108757,1994,77.0
Earth 2,1994–1995,"Adventure, Sci-Fi",USA,6.9,"4,356",tt0108758,1994,69.0
Ellen,1994–1998,"Comedy, Romance",USA,6.1,"4,646",tt0108761,1994,61.0
Erotic Confessions,1994–,Drama,"UK, France",6.2,257,tt0108763,1994,62.0
Familia Kft.,1991–,"Comedy, Family",Hungary,5.1,182,tt0108767,1991,51.0
Fantasy Football League,1994–2004,"Comedy, Sport",UK,8.2,101,tt0108769,1994,82.0
The Fast Show,1994–2000,Comedy,UK,8.2,"3,254",tt0108771,1994,82.0
The 5 Mrs. Buchanans,1994–1995,Comedy,USA,7.8,120,tt0108775,1994,78.0
Friends,1994–2004,"Comedy, Romance",USA,8.9,"655,543",tt0108778,1994,89.0
Breaking News,1994–1997,"Comedy, Drama",Australia,8.9,668,tt0108780,1994,89.0
Gargoyles,1994–1996,"Animation, Action, Adventure, Crime, Drama, Family, Fantasy, Mystery, Romance, Thriller",USA,8.1,"12,363",tt0108783,1994,81.0
The George Carlin Show,1994–1995,Comedy,USA,7.6,327,tt0108785,1994,76.0
Ghostwriter,1992–1995,"Family, Fantasy, Mystery","UK, USA",7.9,"2,048",tt0108787,1992,79.0
The Cameric Five,1994–1997,Comedy,Israel,8.7,83,tt0108794,1994,87.0
Harry Enfield and Chums,1994–1999,Comedy,UK,7.5,"2,063",tt0108796,1994,75.0
Hawkeye,1994–1995,Adventure,Canada,8.6,207,tt0108798,1994,86.0
The Head,1994–1996,"Animation, Action, Adventure, Comedy, Sci-Fi","USA, Canada",6.7,919,tt0108799,1994,67.0
Heartbreak High,1994–1999,Drama,Australia,7.8,"2,316",tt0108800,1994,78.0
The High Life,1994–1995,Comedy,UK,8.1,320,tt0108803,1994,81.0
High Tide,1994–1997,"Comedy, Crime, Mystery",USA,6.5,147,tt0108804,1994,65.0
Jenny Jones,1991–2003,"Drama, Talk-Show",USA,3.8,292,tt0108821,1991,38.0
The Julekalender,1994–,"Comedy, Musical, Mystery",Norway,7.7,"1,011",tt0108825,1994,77.0
Kavanagh QC,1995–2001,"Crime, Drama, Mystery",UK,7.5,425,tt0108826,1995,75.0
Kisváros,1993–2001,"Comedy, Crime, Drama",Hungary,5.9,161,tt0108827,1993,59.0
"Knowing Me, Knowing You with Alan Partridge",1994–1995,"Comedy, Talk-Show",UK,8.2,"5,046",tt0108828,1994,82.0
Rex: A Cop's Best Friend,1994–2008,"Crime, Action, Mystery","Austria, Germany",7.2,"4,444",tt0108829,1994,72.0
"Les Cordier, juge et flic",1992–2005,Crime,France,5.6,94,tt0108835,1992,56.0
Lonesome Dove: The Series,1994–1995,Western,"Canada, USA",7.5,464,tt0108839,1994,75.0
Love Hurts,1992–1994,"Comedy, Romance",UK,7.5,87,tt0108840,1992,75.0
M.A.N.T.I.S.,1994–,"Action, Sci-Fi",USA,6.4,559,tt0108843,1994,64.0
Madison,1993–1997,,Canada,6.5,100,tt0108845,1993,65.0
The Magic School Bus,1994–1997,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Canada, USA",7.9,"6,989",tt0108847,1994,79.0
Marmalade Boy,1994–,"Animation, Comedy, Drama",Japan,7.2,353,tt0108850,1994,72.0
Min vän Percys magiska gymnastikskor,1994–,Family,Sweden,6.1,107,tt0108860,1994,61.0
Models Inc.,1994–1995,Drama,USA,6.6,733,tt0108862,1994,66.0
Movie Magic,1994–,"Documentary, History",USA,8.7,121,tt0108865,1994,87.0
The Mrs. Merton Show,1995–1998,"Comedy, Talk-Show",UK,7.0,90,tt0108867,1995,70.0
My Brother and Me,1994–1995,"Comedy, Family",USA,8.1,766,tt0108871,1994,81.0
My So-Called Life,1994–1995,"Comedy, Drama, Romance",USA,8.4,"17,590",tt0108872,1994,84.0
New York Undercover,1994–1999,"Crime, Drama",USA,7.9,"1,770",tt0108876,1994,79.0
Ninja sentai Kakurenjâ,1994–1995,,Japan,7.9,42,tt0108880,1994,79.0
Noddy's Toyland Adventures,1992–1999,"Animation, Family",UK,6.2,117,tt0108881,1992,62.0
Ocean Girl,1994–1997,"Action, Adventure, Family",Australia,7.4,"1,403",tt0108885,1994,74.0
On Our Own,1994–1995,Comedy,USA,7.3,143,tt0108888,1994,73.0
One West Waikiki,1994–1996,Drama,USA,6.9,230,tt0108889,1994,69.0
Otto - Die Serie,1994–,Comedy,Germany,5.7,99,tt0108890,1994,57.0
Outside Edge,1994–1996,Comedy,UK,7.7,127,tt0108891,1994,77.0
Party of Five,1994–2000,"Drama, Family",USA,6.8,"8,551",tt0108894,1994,68.0
The Pink Panther,1993–1996,"Animation, Comedy, Family",USA,6.9,828,tt0108895,1993,69.0
Politically Incorrect,1993–2002,"Comedy, News, Talk-Show",USA,6.8,988,tt0108897,1993,68.0
ReBoot,1994–2002,"Animation, Action, Adventure",Canada,7.9,"4,428",tt0108903,1994,79.0
Rena rama Rolf,1994–,Comedy,Sweden,6.2,327,tt0108904,1994,62.0
The Kingdom,1994–1997,"Comedy, Drama, Fantasy, Horror, Mystery","Denmark, Italy, Germany, France, Norway, Sweden, Netherlands",8.3,"15,825",tt0108906,1994,83.0
RoboCop,1994,"Action, Adventure, Comedy",Canada,5.9,"1,517",tt0108909,,59.0
Sam sam,1994–2003,Comedy,Netherlands,6.6,208,tt0108913,1994,66.0
The Romance of Three Kingdoms,1995–,"Drama, History",China,8.6,336,tt0108914,1995,86.0
The Secret World of Alex Mack,1994–1998,"Comedy, Drama, Family, Fantasy, Sci-Fi, Thriller",USA,7.7,"4,000",tt0108921,1994,77.0
"Sister, Sister",1994–1999,"Comedy, Drama, Family",USA,6.1,"8,702",tt0108927,1994,61.0
Skeleton Warriors,1994–,"Animation, Adventure, Fantasy, Sci-Fi",USA,7.0,250,tt0108928,1994,70.0
South Central,1994–,Comedy,USA,7.7,189,tt0108936,1994,77.0
Space Ghost Coast to Coast,1993–2008,"Animation, Comedy, Sci-Fi, Talk-Show",USA,8.0,"5,206",tt0108937,1993,80.0
Space Precinct,1994–1995,"Crime, Drama, Sci-Fi",UK,6.7,662,tt0108938,1994,67.0
Speed Racer,1994–,"Animation, Action, Adventure",USA,6.0,192,tt0108939,1994,60.0
Superhuman Samurai Syber-Squad,1994–,"Animation, Family, Action","USA, Japan",7.0,418,tt0108944,1994,70.0
Svensson Svensson,1994–2008,Comedy,Sweden,6.7,906,tt0108947,1994,67.0
Sweet Valley High,1994–1998,"Comedy, Drama","France, USA",5.9,"1,431",tt0108949,1994,59.0
Szomszédok,1987–1999,"Drama, Family, Romance",Hungary,6.8,660,tt0108950,1987,68.0
TV Nation,1994–1995,"Documentary, Comedy, News","UK, USA",6.1,538,tt0108951,1994,61.0
TekWar,1994–1996,"Crime, Sci-Fi","Canada, USA",6.9,502,tt0108953,1994,69.0
Uchû no kishi Tekkaman Burêdo,1994–,"Action, Animation, Sci-Fi","France, USA, Japan",8.2,289,tt0108954,1994,82.0
Thunder Alley,1994–1995,Comedy,USA,6.7,85,tt0108957,1994,67.0
Thunder in Paradise,1994,Adventure,USA,5.6,"1,518",tt0108958,,56.0
Time Team,1994–2014,"Documentary, History",UK,8.4,946,tt0108961,1994,84.0
Toen was geluk heel gewoon,1994–2009,Comedy,Netherlands,6.7,142,tt0108964,1994,67.0
A Touch of Frost,1992–2010,"Crime, Drama, Mystery",UK,7.9,"5,437",tt0108967,1992,79.0
Touched by an Angel,1994–2003,"Drama, Family, Fantasy",USA,6.0,"5,374",tt0108968,1994,60.0
Tre kronor,1994–1999,Drama,Sweden,5.7,417,tt0108970,1994,57.0
Unser Lehrer Doktor Specht,1992–1999,"Drama, Family",Germany,6.3,110,tt0108975,1992,63.0
Unter uns,1994–,"Drama, Romance",Germany,2.5,244,tt0108977,1994,25.0
V.R. Troopers,1994–1996,"Action, Adventure, Family, Sci-Fi",USA,5.7,805,tt0108978,1994,57.0
Verbotene Liebe,1995–,"Drama, Romance",Germany,5.4,491,tt0108979,1995,54.0
The Vicar of Dibley,1994–2015,Comedy,UK,8.0,"9,880",tt0108981,1994,80.0
Viper,1994,"Action, Adventure, Drama, Sci-Fi",USA,6.3,773,tt0108983,,63.0
Weird Science,1994–1998,"Comedy, Sci-Fi",USA,6.8,"2,809",tt0108988,1994,68.0
Wycliffe,1994–,"Crime, Drama, Mystery",UK,7.1,409,tt0108992,1994,71.0
Canguros,1994–1997,,Spain,4.7,71,tt0109373,1994,47.0
Family Album,1994–,"Drama, Romance",USA,6.4,397,tt0109537,1994,64.0
Dirty Pair Flash,1995–,"Animation, Short, Action",Japan,7.1,118,tt0109633,1995,71.0
Gogs,1994–,"Animation, Comedy",UK,8.1,364,tt0109915,1994,81.0
Phantom 2040,1994–,"Animation, Action, Crime",USA,7.3,453,tt0110825,1994,73.0
Gensomaden Saiyuki,2000–2001,"Animation, Action, Adventure",Japan,7.7,142,tt0111056,2000,77.0
Super Dave's Vegas Spectacular,1995–,,USA,7.8,13,tt0111315,1995,78.0
You're Under Arrest!,1996–2008,"Animation, Action, Comedy",Japan,7.1,247,tt0111351,1996,71.0
Æon Flux,1991–1995,"Animation, Adventure, Sci-Fi, Thriller","USA, South Korea, Japan",7.8,"4,896",tt0111873,1991,78.0
All That,1994–2016,"Comedy, Family, Music",USA,7.5,"5,819",tt0111875,1994,75.0
Almost Perfect,1995–1996,Comedy,USA,6.9,157,tt0111877,1995,69.0
American Gothic,1995–1996,"Drama, Horror, Thriller",USA,8.2,"3,763",tt0111880,1995,82.0
Baantjer,1995–2006,"Crime, Drama, Mystery",Netherlands,6.9,838,tt0111887,1995,69.0
Balko,1995–2006,,Germany,6.8,147,tt0111889,1995,68.0
Band of Gold,1995–1997,"Crime, Drama",UK,8.0,462,tt0111890,1995,80.0
Baywatch Nights,1995–1997,"Action, Crime, Drama, Fantasy, Horror, Mystery, Thriller",USA,4.0,"1,153",tt0111892,1995,40.0
Blue Seed,1994–1995,"Animation, Action, Adventure","USA, Japan",7.2,212,tt0111897,1994,72.0
Bramwell,1995–1998,Drama,UK,8.1,618,tt0111899,1995,81.0
Brotherly Love,1995–1997,Comedy,USA,7.4,"1,087",tt0111901,1995,74.0
Bugs,1995–1999,"Action, Crime, Sci-Fi",UK,7.2,430,tt0111904,1995,72.0
Camilo & Filho Lda.,1995–,Comedy,Portugal,6.8,119,tt0111907,1995,68.0
